Zone,Code zone,Kcal_vegetaux,Kcal_animaux,Population_milliers,SousAlimentation_millions,Disponibilite_calorique_totale_kcal,Population_totale,Taux_sousnutrition_pct,Part_animaux_pct,Part_vegetaux_pct
Équateur,58,1732.0,614.0,15738,1.3,2346.0,15738000,8.260261786758164,26.17220801364024,73.82779198635976
Éthiopie,238,2005.0,124.0,94101,25.3,2129.0,94101000,26.88600546221613,5.824330671676844,94.17566932832315
Allemagne,79,2461.0,1042.0,82727,-8477282.752966948,3503.0,82727000,-10.247298648527021,29.745932058235798,70.25406794176419
Antigua-et-Barbuda,8,1635.0,781.0,90,14516.690092219009,2416.0,90000,16.12965565802112,32.326158940397356,67.67384105960265
Australie,10,2227.0,1051.0,23343,-1237943.2599178774,3278.0,23343000,-5.303274043258696,32.06223306894448,67.93776693105552
Autriche,11,2633.0,1137.0,8495,-1446637.7120743266,3770.0,8495000,-17.029284427007966,30.159151193633953,69.84084880636605
Azerbaïdjan,52,2602.0,511.0,9413,314615.85653536953,3113.0,9413000,3.3423547916219007,16.41503372952136,83.58496627047863
Bahamas,12,1828.0,842.0,377,37777.075079514536,2670.0,377000,10.020444318173617,31.53558052434457,68.46441947565543
Barbade,14,2248.0,688.0,285,16324.451228624379,2936.0,285000,5.7278776240787295,23.43324250681199,76.566757493188
Belgique,255,2562.0,1175.0,11104,-1840732.807958476,3737.0,11104000,-16.57720468262316,31.442333422531444,68.55766657746855
Belize,23,2200.0,546.0,332,38167.5201361534,2746.0,332000,11.496241004865482,19.883466860888564,80.11653313911144
Bermudes,17,1858.0,810.0,65,6766.905487421264,2668.0,65000,10.410623826801945,30.359820089955026,69.64017991004498
Bosnie-Herzégovine,80,2635.0,521.0,3829,85861.89356139298,3156.0,3829000,2.2424103829039694,16.50823827629911,83.49176172370089
Brunéi Darussalam,26,2343.0,642.0,418,21161.266646241453,2985.0,418000,5.062503982354414,21.50753768844221,78.49246231155779
Brésil,21,2435.0,827.0,200362,-5935112.997299259,3262.0,200362000,-2.9621949258338702,25.352544451256897,74.6474555487431
Bélarus,57,2411.0,838.0,9357,-258735.07777496707,3249.0,9357000,-2.7651499174411356,25.792551554324405,74.2074484456756
Cabo Verde,35,2134.0,471.0,499,77526.35972572093,2605.0,499000,15.536344634413012,18.080614203454896,81.91938579654511
Canada,33,2635.0,864.0,35182,-3055579.275330686,3499.0,35182000,-8.685064167274987,24.692769362675048,75.30723063732495
Chypre,50,1993.0,653.0,1141,143808.52262636748,2646.0,1141000,12.603726785834134,24.678760393046105,75.3212396069539
Croatie,98,2239.0,817.0,4290,76284.47857026203,3056.0,4290000,1.7781929736657816,26.734293193717278,73.26570680628272
Cuba,49,2906.0,496.0,11266,-376040.21759954165,3402.0,11266000,-3.33783257233749,14.579659024103469,85.42034097589654
Danemark,54,2172.0,1194.0,5619,-476830.57414716424,3366.0,5619000,-8.486039760583097,35.47237076648842,64.52762923351159
Dominique,55,2351.0,579.0,72,4997.046487401839,2930.0,72000,6.940342343613665,19.761092150170647,80.23890784982936
Espagne,203,2355.0,818.0,46927,-405970.27835090173,3173.0,46927000,-0.8651102315317445,25.780018909549323,74.21998109045069
Estonie,63,2448.0,800.0,1287,-30938.228750403956,3248.0,1287000,-2.403902777809165,24.63054187192118,75.36945812807882
Fidji,66,2429.0,514.0,881,64140.43542162401,2943.0,881000,7.280412647176391,17.465171593611963,82.53482840638804
Finlande,67,2053.0,1313.0,5426,-515969.0652198994,3366.0,5426000,-9.509197663470317,39.007724301841954,60.992275698158046
France,68,2299.0,1183.0,64291,-7038022.56388795,3482.0,64291000,-10.947135001614456,33.97472716829408,66.02527283170592
Fédération de Russie,185,2517.0,843.0,142834,-7615023.404221394,3360.0,142834000,-5.331380066525753,25.089285714285715,74.91071428571429
Grenade,86,1864.0,578.0,106,19065.471671014,2442.0,106000,17.986294029258488,23.669123669123667,76.33087633087634
Grèce,84,2593.0,801.0,11128,-639737.7191487957,3394.0,11128000,-5.748901142602406,23.600471420153212,76.39952857984679
Guyana,91,2292.0,470.0,800,95413.38614471244,2762.0,800000,11.926673268089054,17.016654598117306,82.98334540188269
Hongrie,97,2149.0,885.0,9955,161511.1594448312,3034.0,9955000,1.6224124504754514,29.169413315754777,70.83058668424522
Irlande,104,2598.0,1004.0,4627,-563369.7243708291,3602.0,4627000,-12.175701845057901,27.873403664630757,72.12659633536924
Islande,99,1884.0,1497.0,330,-37647.75855820676,3381.0,330000,-11.40841168430508,44.27684117125111,55.723158828748886
Israël,105,2793.0,817.0,7733,-839672.3955427138,3610.0,7733000,-10.858300731187299,22.63157894736842,77.36842105263158
Italie,106,2677.0,901.0,60990,-6585593.767926667,3578.0,60990000,-10.797825492583485,25.181665735047513,74.8183342649525
Japon,110,2202.0,545.0,127144,14601113.227417829,2747.0,127144000,11.483918413309183,19.839825263924283,80.16017473607572
