Zone,Code zone,Kcal_vegetaux,Kcal_animaux,Population_milliers,SousAlimentation_millions,Disponibilite_calorique_totale_kcal,Population_totale,Taux_sousnutrition_pct,Part_animaux_pct,Continent,ISO3
Ouganda,226,1943.0,183.0,37579,12.6,2126.0,37579000,33.529364804811195,8.607714016933206,Africa,UGA
Ouzbékistan,235,2251.0,508.0,28934,2.1,2759.0,28934000,7.25789728347273,18.41246828561073,Asia,UZB
Pakistan,165,1907.0,531.0,182143,38.1,2438.0,182143000,20.917630652838703,21.78014766201805,Asia,PAK
Panama,166,2147.0,584.0,3864,0.4,2731.0,3864000,10.351966873706004,21.384108385206886,America,PAN
Paraguay,169,2032.0,552.0,6802,0.8,2584.0,6802000,11.761246692149369,21.36222910216718,America,PRY
Pays-Bas,150,2146.0,1076.0,16759,,3222.0,16759000,,33.39540657976412,Europe,NLD
Philippines,171,2180.0,388.0,98394,14.0,2568.0,98394000,14.228509868487915,15.109034267912772,Asia,PHL
Pologne,173,2534.0,916.0,38217,,3450.0,38217000,,26.55072463768116,Europe,POL
Polynésie française,70,2061.0,862.0,277,,2923.0,277000,,29.4902497434143,Oceania,PYF
Portugal,174,2469.0,1003.0,10608,,3472.0,10608000,,28.888248847926267,Europe,PRT
Pérou,170,2389.0,308.0,30376,2.8,2697.0,30376000,9.217803529101923,11.420096403411199,America,PER
Roumanie,183,2568.0,791.0,21699,,3359.0,21699000,,23.548675200952665,Europe,ROU
Royaume-Uni,229,2443.0,982.0,63384,,3425.0,63384000,,28.67153284671533,Europe,GBR
Rwanda,184,2161.0,63.0,11777,3.6,2224.0,11777000,30.56805638108177,2.83273381294964,Africa,RWA
République centrafricaine,37,1673.0,206.0,4616,2.0,1879.0,4616000,43.32755632582322,10.96327833954231,Africa,CAF
République de Corée,117,2757.0,576.0,49263,,3333.0,49263000,,17.28172817281728,Asia,KOR
République de Moldova,146,2022.0,693.0,3487,,2715.0,3487000,,25.524861878453038,Europe,MDA
République dominicaine,56,2224.0,387.0,10404,1.3,2611.0,10404000,12.49519415609381,14.821907315204902,America,DOM
République démocratique populaire lao,120,2236.0,219.0,6770,1.2,2455.0,6770000,17.725258493353028,8.920570264765784,Asia,LAO
République populaire démocratique de Corée,116,1963.0,130.0,24895,10.6,2093.0,24895000,42.57883109058044,6.211180124223603,Asia,PRK
République-Unie de Tanzanie,215,2060.0,144.0,49253,16.4,2204.0,49253000,33.29746411386108,6.533575317604355,Africa,TZA
Saint-Kitts-et-Nevis,188,1821.0,670.0,54,,2491.0,54000,,26.896828582898436,America,KNA
Saint-Vincent-et-les Grenadines,191,2377.0,588.0,109,,2965.0,109000,,19.831365935919056,America,VCT
Sainte-Lucie,189,1820.0,769.0,182,,2589.0,182000,,29.70258787176516,America,LCA
Samoa,244,2141.0,815.0,190,,2956.0,190000,,27.57104194857916,Oceania,WSM
Sao Tomé-et-Principe,193,2211.0,187.0,193,,2398.0,193000,,7.79816513761468,Africa,STP
Serbie,272,2025.0,700.0,9511,0.5,2725.0,9511000,5.257070760172431,25.688073394495415,Europe,SRB
Sierra Leone,197,2271.0,130.0,6092,1.6,2401.0,6092000,26.263952724885097,5.414410662224074,Africa,SLE
Slovaquie,199,2178.0,765.0,5450,0.2,2943.0,5450000,3.669724770642202,25.993883792048926,Europe,SVK
Slovénie,198,2364.0,804.0,2072,,3168.0,2072000,,25.37878787878788,Europe,SVN
Soudan,276,1824.0,511.0,37964,8.3,2335.0,37964000,21.862817405963547,21.884368308351178,Africa,276
Sri Lanka,38,2371.0,166.0,21273,2.3,2537.0,21273000,10.811827198796596,6.543161214032321,Asia,LKA
Suisse,211,2268.0,1125.0,8078,,3393.0,8078000,,33.15649867374005,Europe,CHE
